ID	Warehouse_block	Mode_of_Shipment	Customer_care_calls	Customer_rating	Cost_of_the_Product	Prior_purchases	Product_importance	Discount_offered	Weight_in_gms
2741	C	Flight	3	1	121	5	low	60	1577
2742	F	Flight	4	2	171	3	low	40	1021
2743	D	Flight	3	3	178	3	high	12	1900
2744	F	Flight	4	3	132	4	medium	10	1767
2745	A	Flight	6	4	249	5	medium	43	3078
2746	B	Flight	2	4	159	3	medium	47	1547
2747	C	Flight	5	2	171	3	high	34	1029
2748	F	Flight	3	3	150	3	low	6	1775
2749	D	Flight	4	4	178	3	low	1	1165
2750	F	Flight	3	3	192	7	high	25	2152
2751	A	Flight	3	5	214	8	high	50	3628
2752	B	Flight	5	3	225	7	medium	45	3162
2753	C	Flight	5	4	167	7	medium	23	1691
2754	F	Flight	3	5	245	4	medium	4	2769
2755	D	Flight	4	5	138	7	medium	60	1366
2756	F	Flight	4	4	173	3	medium	64	1847
2757	A	Flight	3	5	98	3	medium	48	1635
2758	B	Ship	3	1	231	2	low	44	3688
2759	C	Ship	5	5	149	7	medium	50	1346
2760	F	Ship	3	1	206	3	medium	28	2892
2761	D	Ship	5	3	264	10	medium	34	3441
2762	F	Ship	3	1	193	2	medium	23	2728
2763	A	Ship	5	1	263	2	medium	4	1092
2764	B	Ship	3	2	191	4	medium	16	2277
2765	C	Ship	5	4	177	4	medium	48	1920
2766	F	Ship	5	5	226	3	low	50	2348
2767	D	Ship	3	1	132	2	medium	16	1731
2768	F	Ship	3	1	121	5	low	62	1505
2769	A	Ship	4	2	171	3	low	34	1352
2770	B	Ship	3	3	178	3	high	43	1517
2771	C	Ship	4	4	132	4	medium	44	1692
2772	F	Ship	6	5	249	5	medium	26	3897
2773	D	Ship	2	3	159	3	medium	39	1477
2774	F	Ship	5	5	171	3	high	14	1554
2775	A	Ship	3	1	150	3	low	43	1831
2776	B	Ship	4	1	178	3	low	19	1906
2777	C	Ship	3	3	192	7	high	36	3634
2778	F	Ship	3	4	214	8	high	6	2924
2779	D	Ship	5	3	225	7	medium	17	3516
2780	F	Ship	5	4	167	7	medium	43	1619
2781	A	Ship	3	2	245	4	medium	60	2178
2782	B	Ship	4	4	138	7	medium	65	1530
2783	C	Ship	4	4	173	3	medium	61	1609
2784	F	Ship	3	2	98	3	medium	60	1057
2785	D	Ship	3	1	231	2	low	24	3811
2786	F	Ship	5	3	149	7	medium	51	1425
2787	A	Ship	3	5	206	3	medium	21	3746
2788	B	Ship	5	4	264	10	medium	34	2960
2789	C	Ship	3	5	193	2	medium	12	3730
2790	F	Ship	5	2	263	2	medium	51	1657
2791	D	Ship	2	5	282	5	low	63	1173
2792	F	Ship	5	4	193	3	low	55	2758
2793	A	Ship	4	4	171	3	medium	11	1594
2794	B	Ship	3	5	212	3	low	19	2703
2795	C	Ship	2	1	159	2	low	44	1213
2796	F	Ship	3	2	102	4	medium	57	1220
2797	D	Ship	3	2	145	2	medium	29	1690
2798	F	Ship	3	1	225	2	high	43	2585
2799	A	Ship	2	1	174	3	medium	12	1358
2800	B	Ship	4	3	223	4	low	25	3148
2801	C	Ship	3	5	185	2	low	36	3501
2802	F	Ship	4	5	245	3	medium	6	2717
2803	D	Ship	3	3	99	3	high	63	1223
2804	F	Ship	3	3	141	4	low	35	1417
2805	A	Ship	4	2	222	2	medium	16	2518
2806	B	Ship	3	2	192	3	medium	64	3233
2807	C	Ship	3	1	187	4	medium	42	3621
2808	F	Ship	4	2	216	2	low	26	2431
2809	D	Ship	3	2	146	4	low	13	1790
2810	F	Ship	3	2	207	2	low	20	3419
2811	A	Ship	4	2	225	2	low	6	2010
2812	B	Ship	3	4	230	2	medium	15	2302
2813	C	Ship	3	2	173	3	medium	37	1990
2814	F	Ship	4	4	127	4	high	54	1239
2815	D	Ship	3	3	214	2	low	28	3869
2816	F	Ship	4	1	161	3	low	59	1454
2817	A	Ship	4	2	262	2	low	37	3523
2818	B	Ship	5	2	157	3	low	1	1798
2819	C	Ship	3	1	164	3	medium	9	1803
2820	F	Ship	4	4	174	2	low	11	1577
2821	D	Ship	2	2	188	4	medium	39	2424
2822	F	Ship	3	1	141	2	low	4	1297
2823	A	Ship	5	5	134	2	medium	64	1785
2824	B	Ship	2	4	147	2	medium	65	1738
2825	C	Ship	4	1	180	3	medium	27	1551
2826	F	Ship	3	3	225	2	medium	55	2259
2827	D	Ship	2	3	172	3	medium	11	1522
2828	F	Ship	6	2	131	5	medium	5	1718
2829	A	Ship	3	1	270	4	low	47	3487
2830	B	Ship	3	4	172	3	low	56	1103
2831	C	Ship	4	5	198	3	medium	33	2129
2832	F	Ship	4	2	167	3	low	21	1637
2833	D	Ship	2	2	168	5	medium	1	1885
2834	F	Ship	4	1	165	4	medium	34	1831
2835	A	Ship	4	5	149	6	medium	40	1974
2836	B	Ship	3	3	186	3	low	24	3262
2837	C	Ship	4	1	151	2	low	47	1682
2838	F	Ship	3	5	146	3	medium	30	1569
2839	D	Ship	4	5	232	2	low	54	2526
2840	F	Ship	4	1	177	2	low	22	1698
2841	A	Ship	4	4	149	2	medium	19	1665
2842	B	Ship	4	2	180	3	low	3	1518
2843	C	Ship	5	5	172	2	medium	40	1446
2844	F	Ship	5	2	160	3	medium	44	1054
2845	D	Ship	3	2	206	2	medium	28	2822
2846	F	Ship	4	5	146	3	low	9	1685
2847	A	Ship	2	1	257	2	low	24	2130
2848	B	Ship	5	5	219	3	medium	27	3430
2849	C	Ship	4	2	274	2	medium	55	3416
2850	F	Ship	2	2	177	5	low	36	1249
2851	D	Road	4	3	209	2	medium	57	3741
2852	F	Road	4	1	207	2	low	2	3242
2853	A	Road	4	4	153	3	low	27	1613
2854	B	Road	4	4	158	3	low	61	1507
2855	C	Road	3	4	261	2	medium	52	3340
2856	F	Road	4	1	182	6	low	41	2047
2857	D	Road	2	3	128	2	medium	53	1530
2858	F	Road	2	1	178	3	low	6	1184
2859	A	Road	2	4	198	3	low	37	2555
2860	B	Road	4	3	137	3	medium	46	1299
2861	C	Road	4	1	168	2	low	41	1515
2862	F	Road	3	3	248	4	low	36	3276
2863	D	Road	5	2	225	3	medium	29	2411
2864	F	Road	5	4	239	2	low	35	2107
2865	A	Road	5	4	256	3	low	43	3658
2866	B	Road	5	1	109	2	high	23	1479
2867	C	Road	3	3	274	2	medium	59	3436
2868	F	Road	5	4	157	4	low	65	1951
2869	D	Road	3	2	125	3	medium	12	1212
2870	F	Road	4	5	203	2	low	20	2421
2871	A	Road	3	3	120	3	low	55	1534
2872	B	Road	3	5	194	4	medium	21	2695
2873	C	Flight	4	2	257	4	high	58	2269
2874	F	Flight	4	4	233	2	medium	39	2291
2875	D	Flight	5	2	193	2	low	1	2775
2876	F	Flight	5	3	202	6	low	34	2936
2877	A	Flight	4	5	270	3	low	30	2720
2878	B	Flight	5	5	240	3	medium	12	2723
2879	C	Flight	3	2	224	3	medium	63	2085
2880	F	Flight	4	1	195	2	medium	19	2878
2881	D	Flight	3	2	165	3	medium	47	1639
2882	F	Flight	4	1	164	2	medium	3	1124
2883	A	Flight	3	1	105	3	low	58	1304
2884	B	Flight	3	1	248	3	low	9	2616
2885	C	Flight	4	3	269	6	medium	62	3950
2886	F	Flight	4	1	253	3	low	36	2591
2887	D	Flight	3	1	231	4	medium	60	3755
2888	F	Flight	3	1	164	2	low	39	1532
2889	A	Flight	3	3	176	3	medium	14	1705
2890	B	Flight	4	3	149	3	medium	17	1990
2891	C	Flight	4	5	187	5	medium	16	3781
2892	F	Flight	3	2	150	2	low	53	1319
2893	D	Flight	3	2	190	3	medium	18	2715
2894	F	Flight	4	1	226	3	low	42	3077
2895	A	Ship	3	4	98	2	low	32	1539
2896	B	Ship	3	5	152	2	medium	6	1800
2897	C	Ship	2	2	173	2	medium	34	1575
2898	F	Ship	4	1	160	2	high	65	1861
2899	D	Ship	4	2	180	3	low	22	1261
2900	F	Ship	3	2	175	2	medium	12	1817
2901	A	Ship	3	3	274	3	low	6	2986
2902	B	Ship	4	1	216	4	low	4	2263
2903	C	Ship	6	2	283	2	low	18	3077
2904	F	Ship	6	4	192	3	high	19	2944
2905	D	Ship	3	4	236	4	medium	43	2584
2906	F	Ship	4	2	232	3	high	46	2835
2907	A	Ship	2	3	204	4	low	20	3135
2908	B	Ship	3	2	138	2	medium	46	1436
2909	C	Ship	3	4	154	2	low	29	1016
2910	F	Ship	4	3	244	2	low	17	3125
2911	D	Ship	3	2	144	3	medium	48	1867
2912	F	Ship	3	4	274	3	medium	19	3076
2913	A	Ship	3	2	182	3	low	54	3972
2914	B	Ship	6	1	250	5	low	53	3352
2915	C	Ship	4	4	207	2	medium	14	2945
2916	F	Ship	3	4	242	3	high	54	3011
2917	D	Ship	5	1	154	2	low	37	1671
2918	F	Ship	4	4	176	3	medium	53	1472
2919	A	Ship	3	5	252	3	low	18	3701
2920	B	Ship	4	1	147	3	medium	32	1666
2921	C	Ship	5	3	157	4	low	1	1306
2922	F	Ship	3	1	257	2	medium	37	3517
2923	D	Ship	4	3	172	3	medium	6	1261
2924	F	Ship	4	3	134	3	high	22	1629
2925	A	Ship	2	2	152	4	low	48	1212
2926	B	Ship	3	1	161	3	low	57	1918
2927	C	Ship	3	1	269	3	low	47	3033
2928	F	Ship	2	3	164	2	medium	64	1689
2929	D	Ship	5	3	114	6	medium	60	1746
2930	F	Ship	6	5	213	6	low	7	2709
2931	A	Ship	4	4	255	3	medium	60	2777
2932	B	Ship	3	3	135	3	medium	28	1329
2933	C	Ship	3	2	155	3	medium	7	1434
2934	F	Ship	6	3	273	4	medium	32	2532
2935	D	Ship	4	3	135	3	low	15	1008
2936	F	Ship	4	4	170	3	low	29	1188
2937	A	Ship	6	4	138	5	medium	15	1181
2938	B	Ship	3	2	213	4	low	53	3502
2939	C	Ship	4	5	156	5	high	55	1619
2940	F	Ship	3	1	139	2	low	47	1241
2941	D	Ship	3	1	263	3	medium	6	2715
2942	F	Ship	2	3	160	4	low	53	1850
2943	A	Ship	3	3	148	2	low	39	1402
2944	B	Ship	4	3	259	3	high	45	3761
2945	C	Ship	5	4	273	3	low	60	3384
2946	F	Ship	3	2	212	3	medium	9	2521
2947	D	Ship	3	5	144	6	low	46	1110
2948	F	Ship	2	2	193	3	medium	64	2867
2949	A	Ship	5	2	198	3	low	44	3706
2950	B	Ship	3	5	207	4	low	45	3770
2951	C	Ship	6	1	236	4	low	10	2030
2952	F	Ship	4	2	165	3	low	7	1702
2953	D	Ship	3	3	162	3	low	3	1693
2954	F	Ship	4	2	184	3	low	63	3609
2955	A	Ship	5	5	145	2	medium	48	1834
2956	B	Ship	3	3	228	2	medium	27	3473
2957	C	Ship	5	5	213	2	high	12	2522
2958	F	Ship	2	2	146	3	medium	1	1162
2959	D	Ship	4	2	220	3	high	39	2459
2960	F	Ship	3	4	231	3	medium	49	3441
2961	A	Ship	3	4	212	8	low	56	3337
2962	B	Ship	4	3	202	3	low	48	2213
2963	C	Ship	5	5	208	8	low	39	2905
2964	F	Ship	3	3	200	3	low	46	2460
2965	D	Ship	3	2	250	3	low	37	2736
2966	F	Ship	3	5	126	2	low	29	1192
2967	A	Ship	4	1	222	4	medium	42	2762
2968	B	Ship	6	2	236	4	low	61	3140
2969	C	Ship	4	3	165	3	low	4	1484
2970	F	Ship	3	4	162	3	low	17	1700
2971	D	Ship	4	3	184	3	low	37	3436
2972	F	Ship	5	3	145	2	medium	6	1965
2973	A	Ship	3	4	228	2	medium	46	3306
2974	B	Ship	5	3	213	2	high	27	2581
2975	C	Ship	2	3	146	3	medium	18	1289
2976	F	Ship	4	1	220	3	high	2	3886
2977	D	Ship	3	4	231	3	medium	39	3792
2978	F	Ship	3	4	212	8	low	34	2750
2979	A	Ship	4	5	202	3	low	38	2651
2980	B	Ship	5	2	208	8	low	62	3450
2981	C	Ship	3	3	200	3	low	4	3791
2982	F	Ship	3	1	250	3	low	8	3617
2983	D	Ship	3	5	126	2	low	63	1141
2984	F	Ship	4	3	222	4	medium	49	3697
2985	A	Ship	3	3	273	6	low	6	1771
2986	B	Ship	6	5	161	4	medium	20	1338
2987	C	Ship	5	1	236	3	medium	10	1347
2988	F	Road	6	3	281	5	medium	8	1864
2989	D	Road	5	3	168	4	low	7	1298
2990	F	Road	5	1	206	4	low	62	1137
2991	A	Road	4	1	144	4	high	5	1294
2992	B	Road	5	3	239	5	medium	19	2988
2993	C	Road	3	5	129	3	medium	52	1513
2994	F	Road	4	5	201	4	medium	46	3498
2995	D	Road	5	5	160	3	medium	55	1911
2996	F	Road	6	5	130	6	low	60	1971
2997	A	Road	3	1	132	4	medium	58	1067
2998	B	Road	4	2	185	4	medium	36	2583
2999	C	Road	5	1	271	4	low	4	2718
3000	F	Road	5	2	168	2	medium	20	1539
3001	D	Road	5	5	154	3	medium	50	1389
3002	F	Road	3	3	203	3	low	4	3114
3003	A	Road	3	1	274	3	low	4	2087
3004	B	Road	5	4	280	4	low	19	3298
3005	C	Road	4	5	196	2	low	51	3151
3006	F	Road	5	2	159	3	medium	63	1675
3007	D	Road	5	4	269	3	medium	15	2522
3008	F	Road	4	3	161	3	low	52	1199
3009	A	Road	3	1	159	2	medium	44	1806
3010	B	Flight	5	4	147	6	medium	21	1145
3011	C	Flight	3	3	214	2	medium	4	3754
3012	F	Flight	4	5	157	4	medium	12	1038
3013	D	Flight	5	5	147	2	medium	19	1936
3014	F	Flight	5	4	182	3	medium	11	3545
3015	A	Flight	3	5	188	2	low	12	2711
3016	B	Flight	3	1	104	2	low	1	1021
3017	C	Flight	5	5	195	3	low	55	2641
3018	F	Flight	4	1	235	2	high	64	2107
3019	D	Flight	4	5	219	2	medium	21	3830
3020	F	Flight	4	5	253	2	low	36	3389
3021	A	Flight	3	3	253	4	medium	57	2489
3022	B	Flight	4	1	167	3	low	42	1197
3023	C	Flight	4	2	211	2	low	39	2520
3024	F	Flight	3	4	155	3	medium	4	1548
3025	D	Flight	6	1	231	4	medium	23	2455
3026	F	Flight	5	4	182	4	low	61	3063
3027	A	Flight	3	5	212	2	medium	56	3547
3028	B	Flight	3	1	107	3	high	13	1861
3029	C	Flight	5	2	172	4	high	61	1161
3030	F	Flight	3	2	224	3	low	40	2180
3031	D	Flight	3	4	209	3	high	37	3650
3032	F	Ship	4	5	268	2	medium	46	3076
3033	A	Ship	3	2	141	4	low	9	1909
3034	B	Ship	4	4	260	2	low	17	3068
3035	C	Ship	5	4	151	4	medium	10	1441
3036	F	Ship	5	2	184	2	medium	27	3276
3037	D	Ship	5	1	270	3	high	52	3908
3038	F	Ship	5	4	135	2	medium	20	1908
3039	A	Ship	4	3	276	4	low	3	3889
3040	B	Ship	4	4	177	3	medium	23	1142
3041	C	Ship	3	2	149	3	medium	64	1920
3042	F	Ship	4	3	220	4	low	19	3602
3043	D	Ship	4	5	267	3	low	53	3742
3044	F	Ship	3	2	274	3	medium	50	3958
3045	A	Ship	4	4	243	3	low	10	3327
3046	B	Ship	5	1	166	2	low	44	1647
3047	C	Ship	5	2	225	3	medium	1	2049
3048	F	Ship	3	3	138	2	medium	40	1117
3049	D	Ship	4	3	141	4	medium	38	1599
3050	F	Ship	3	4	271	4	medium	16	2693
3051	A	Ship	6	5	243	3	medium	35	2374
3052	B	Ship	3	3	231	3	medium	53	2333
3053	C	Ship	5	4	168	3	low	34	1779
3054	F	Ship	5	3	264	2	low	61	2025
3055	D	Ship	4	3	233	3	medium	26	2624
3056	F	Ship	4	2	247	5	medium	17	3630
3057	A	Ship	3	4	176	3	low	4	1095
3058	B	Ship	5	5	257	4	medium	31	2040
3059	C	Ship	3	1	147	4	low	18	1613
3060	F	Ship	5	5	195	2	low	6	3936
3061	D	Ship	2	4	153	2	medium	57	1264
3062	F	Ship	3	5	237	4	low	28	3903
3063	A	Ship	6	4	217	5	low	7	3725
3064	B	Ship	5	1	140	4	medium	48	1322
3065	C	Ship	2	5	164	4	medium	2	1439
3066	F	Ship	3	3	243	3	medium	27	2052
3067	D	Ship	3	4	158	3	high	41	1137
3068	F	Ship	5	5	180	4	high	10	1200
3069	A	Ship	4	3	139	3	low	64	1814
3070	B	Ship	4	4	162	2	medium	8	1386
3071	C	Ship	5	3	206	4	low	18	3104
3072	F	Ship	3	2	238	2	low	19	2196
3073	D	Ship	5	3	254	2	medium	4	3297
3074	F	Ship	5	3	270	3	medium	38	3669
3075	A	Ship	3	2	255	2	low	18	3732
3076	B	Ship	4	4	182	2	low	13	3332
3077	C	Ship	3	3	149	2	medium	7	1145
3078	F	Ship	4	1	221	5	medium	22	3075
3079	D	Ship	4	5	135	2	low	60	1026
3080	F	Ship	3	1	188	2	low	14	2074
3081	A	Ship	5	5	194	3	low	47	2256
3082	B	Ship	4	3	134	2	medium	29	1010
3083	C	Ship	3	4	210	2	medium	29	3142
3084	F	Ship	4	2	169	2	low	22	1322
3085	D	Ship	3	3	147	2	low	52	1040
3086	F	Ship	4	1	213	3	low	21	3585
3087	A	Ship	3	2	223	2	low	64	3595
3088	B	Ship	4	1	233	2	medium	60	2671
3089	C	Ship	4	2	218	2	high	1	2990
3090	F	Ship	4	5	219	3	medium	27	3684
3091	D	Ship	3	2	145	2	low	44	1212
3092	F	Ship	3	3	257	3	low	44	3370
3093	A	Ship	3	1	238	6	medium	59	3375
3094	B	Ship	4	1	145	6	low	32	1673
3095	C	Ship	4	4	243	3	low	36	2111
3096	F	Ship	4	4	179	2	low	18	1369
3097	D	Ship	2	3	188	2	high	25	2033
3098	F	Ship	4	4	168	3	medium	53	1782
3099	A	Ship	5	4	157	4	low	58	1252
3100	B	Ship	3	4	172	3	low	32	1943
3101	C	Ship	5	1	195	3	low	37	3690
3102	F	Ship	3	2	225	3	low	59	3488
3103	D	Ship	3	3	227	2	medium	24	2749
3104	F	Ship	3	5	159	3	low	46	1857
3105	A	Ship	2	2	273	3	low	56	2633
3106	B	Ship	5	2	214	6	low	3	3234
3107	C	Ship	4	2	175	3	medium	34	1005
3108	F	Ship	3	5	213	2	low	39	2857
3109	D	Ship	4	3	190	4	medium	12	3115
3110	F	Ship	4	2	265	4	medium	40	2637
3111	A	Ship	4	4	146	4	low	12	1899
3112	B	Ship	5	4	229	2	medium	44	2419
3113	C	Ship	3	5	195	3	medium	47	2439
3114	F	Ship	2	5	151	3	low	34	1652
3115	D	Ship	4	2	217	3	low	1	3133
3116	F	Ship	4	4	134	3	low	14	1716
3117	A	Ship	3	5	195	2	low	42	3814
3118	B	Ship	4	3	142	4	low	29	1420
3119	C	Ship	2	4	182	4	medium	1	3624
3120	F	Ship	4	2	155	5	low	48	1043
3121	D	Ship	3	5	238	2	medium	34	2726
3122	F	Ship	4	1	182	3	medium	49	3198
3123	A	Ship	4	1	237	4	medium	22	2231
3124	B	Ship	4	4	222	3	low	24	3503
3125	C	Road	5	4	177	2	medium	45	1664
3126	F	Road	4	4	197	3	medium	41	3280
3127	D	Road	3	1	224	3	low	48	3672
3128	F	Road	3	3	193	2	low	19	3097
3129	A	Road	3	1	169	3	high	24	1740
3130	B	Road	3	4	248	2	medium	15	2983
3131	C	Road	6	5	246	4	medium	50	3618
3132	F	Road	4	1	232	3	medium	55	2686
3133	D	Road	3	5	251	3	low	21	2476
3134	F	Road	3	4	163	3	medium	58	1443
3135	A	Road	6	4	201	2	low	4	5916
3136	B	Road	6	5	141	3	medium	8	5031
3137	C	Road	3	3	219	3	low	4	5956
3138	F	Road	4	3	161	3	high	7	4245
3139	D	Road	4	5	225	4	medium	5	4622
3140	F	Road	5	3	277	3	medium	1	4186
3141	A	Road	3	3	256	4	medium	3	4732
3142	B	Road	6	2	153	5	low	1	4597
3143	C	Road	4	4	135	3	low	4	4651
3144	F	Road	3	3	253	3	medium	7	5085
3145	D	Road	4	5	139	3	low	5	5335
3146	F	Road	3	5	136	2	high	1	4971
3147	A	Flight	4	1	172	3	medium	7	4883
3148	B	Flight	4	2	272	3	high	6	4559
3149	C	Flight	3	3	207	3	high	1	5632
3150	F	Flight	2	3	134	3	low	4	5958
3151	D	Flight	3	3	238	8	medium	3	4943
3152	F	Flight	2	4	274	10	high	3	4167
3153	A	Flight	4	2	237	6	low	8	5695
3154	B	Flight	3	2	153	10	high	2	5455
3155	C	Flight	4	1	223	3	low	8	4974
3156	F	Flight	3	4	149	3	low	1	5040
3157	D	Flight	3	5	132	3	low	7	4013
3158	F	Flight	4	2	246	3	low	7	5616
3159	A	Flight	4	2	159	5	low	4	5547
3160	B	Flight	3	1	162	8	high	10	5429
3161	C	Flight	3	3	123	5	medium	5	4292
3162	F	Flight	5	1	231	7	high	9	5558
3163	D	Flight	3	1	213	10	medium	9	4862
3164	F	Flight	5	2	160	3	high	1	5834
3165	A	Flight	4	4	225	5	low	5	5060
3166	B	Flight	3	1	178	3	low	3	4811
3167	C	Flight	4	1	273	3	medium	5	5055
3168	F	Flight	3	2	129	3	high	9	4342
3169	D	Ship	3	1	273	6	low	9	1198
3170	F	Ship	6	3	161	4	medium	8	1247
3171	A	Ship	4	5	139	3	low	3	5824
3172	B	Ship	3	2	136	2	high	6	4002
3173	C	Ship	4	4	172	3	medium	1	4201
3174	F	Ship	4	2	272	3	high	7	5927
3175	D	Ship	3	2	207	3	high	3	4909
3176	F	Ship	2	3	134	3	low	6	4444
3177	A	Ship	3	2	238	8	medium	3	4388
3178	B	Ship	2	1	274	10	high	1	5622
3179	C	Ship	4	3	237	6	low	8	5588
3180	F	Ship	3	2	153	10	high	7	5305
3181	D	Ship	4	2	223	3	low	7	4026
3182	F	Ship	3	5	149	3	low	9	5412
3183	A	Ship	3	3	132	3	low	6	5721
3184	B	Ship	4	3	246	3	low	5	4710
3185	C	Ship	4	3	159	5	low	4	4666
3186	F	Ship	3	3	162	8	high	10	4842
3187	D	Ship	3	1	123	5	medium	10	4231
3188	F	Ship	5	5	231	7	high	6	5755
3189	A	Ship	3	3	213	10	medium	2	4847
3190	B	Ship	5	1	160	3	high	2	5141
3191	C	Ship	4	3	225	5	low	8	4195
3192	F	Ship	3	5	178	3	low	3	5540
3193	D	Ship	4	5	273	3	medium	2	4374
3194	F	Ship	3	3	129	3	high	7	5197
3195	A	Ship	3	1	273	6	low	1	1293
3196	B	Ship	6	4	161	4	medium	3	1747
3197	C	Ship	5	2	206	4	low	5	1149
3198	F	Ship	4	5	296	2	medium	1	1678
3199	D	Ship	3	2	249	5	medium	6	1887
3200	F	Ship	4	4	301	5	low	6	1931
3201	A	Ship	4	3	296	3	low	4	1991
3202	B	Ship	3	5	205	4	low	2	1648
3203	C	Ship	3	3	132	2	low	9	4355
3204	F	Ship	4	2	223	3	high	5	4282
3205	D	Ship	3	1	190	3	medium	2	4312
3206	F	Ship	5	3	194	3	low	1	4331
3207	A	Ship	2	4	176	2	medium	2	5138
3208	B	Ship	6	4	227	5	medium	8	4388
3209	C	Ship	5	1	149	2	low	9	5435
3210	F	Ship	5	2	173	2	low	7	5836
3211	D	Ship	3	2	181	2	low	6	5410
3212	F	Ship	3	5	251	2	low	4	4015
3213	A	Ship	4	5	243	3	low	2	4909
3214	B	Ship	3	4	210	3	low	10	4398
3215	C	Ship	5	2	145	4	medium	9	4028
3216	F	Ship	3	1	196	3	low	10	4546
3217	D	Ship	3	4	154	2	medium	5	5735
3218	F	Ship	4	1	164	4	low	6	4432
3219	A	Ship	4	2	210	3	medium	1	4379
3220	B	Ship	5	3	212	2	low	7	5219
3221	C	Ship	3	1	263	2	medium	9	4868
3222	F	Ship	3	4	155	2	low	3	5481
3223	D	Ship	3	4	223	2	low	9	4211
3224	F	Ship	5	4	269	3	low	3	4489
3225	A	Ship	3	4	117	3	low	6	4046
3226	B	Ship	4	4	151	2	low	3	4105
3227	C	Ship	4	2	271	3	medium	4	4743
3228	F	Ship	3	3	205	3	low	10	5714
3229	D	Ship	5	3	210	5	medium	9	5431
3230	F	Ship	4	1	133	2	medium	8	4277
3231	A	Ship	5	2	215	6	medium	5	5195
3232	B	Ship	2	3	140	3	low	2	4691
3233	C	Ship	3	3	255	2	low	8	5955
3234	F	Ship	2	5	159	3	low	5	4190
3235	D	Ship	5	3	169	2	low	8	5352
3236	F	Ship	5	4	182	2	medium	2	4554
3237	A	Ship	2	5	231	2	low	10	4406
3238	B	Ship	3	4	177	3	low	6	4445
3239	C	Ship	4	3	250	3	medium	3	5055
3240	F	Ship	4	2	145	3	medium	4	5122
3241	D	Ship	2	5	117	3	high	2	4268
3242	F	Ship	3	4	170	3	low	5	4716
3243	A	Ship	4	4	173	3	high	9	5382
3244	B	Ship	4	2	232	3	medium	8	4658
3245	C	Ship	3	2	231	4	medium	4	5510
3246	F	Ship	3	4	136	3	medium	2	4524
3247	D	Ship	4	1	189	3	medium	5	4496
3248	F	Ship	5	4	222	3	low	7	5340
3249	A	Ship	4	3	148	3	high	7	5034
3250	B	Ship	5	2	265	2	medium	7	5464
3251	C	Ship	4	1	181	2	low	3	5877
3252	F	Ship	6	5	189	2	high	4	5898
3253	D	Ship	3	2	160	3	medium	6	4808
3254	F	Ship	3	3	235	3	medium	10	4186
3255	A	Ship	3	4	100	3	medium	4	4191
3256	B	Ship	5	5	135	4	medium	7	5765
3257	C	Ship	5	2	137	3	low	6	4883
3258	F	Ship	4	2	222	3	high	9	5337
3259	D	Ship	5	1	246	3	medium	10	4078
3260	F	Ship	3	3	202	3	medium	8	5486
3261	A	Ship	4	5	273	3	low	1	5043
3262	B	Road	5	1	248	2	low	9	5881
3263	C	Road	4	4	199	4	medium	5	4194
3264	F	Road	4	3	209	3	medium	7	4104
3265	D	Road	4	5	216	2	low	2	4905
3266	F	Road	4	2	227	3	low	2	4318
3267	A	Road	3	1	216	4	medium	4	4416
3268	B	Road	2	3	242	2	medium	1	5892
3269	C	Road	5	4	217	3	medium	8	4949
3270	F	Road	2	2	160	3	medium	9	4613
3271	D	Road	5	3	141	2	medium	4	5257
3272	F	Road	5	4	263	2	medium	5	4595
3273	A	Road	5	4	171	4	low	7	5359
3274	B	Road	3	5	195	2	low	4	4864
3275	C	Road	3	5	237	3	low	4	5561
3276	F	Road	2	5	241	4	low	4	5693
3277	D	Road	3	4	134	3	medium	9	4230
3278	F	Road	5	5	156	3	low	5	5398
3279	A	Road	3	4	211	2	low	6	6000
3280	B	Road	3	2	243	2	low	5	4769
3281	C	Road	4	3	196	2	medium	7	4116
3282	F	Road	3	3	242	2	medium	7	4960
3283	D	Road	3	4	175	3	low	3	4449
3284	F	Flight	2	2	155	3	low	1	5154
3285	A	Flight	4	1	200	2	low	9	4808
3286	B	Flight	3	3	191	3	low	4	4586
3287	C	Flight	4	5	221	3	low	6	5895
3288	F	Flight	3	1	135	3	low	9	4511
3289	D	Flight	3	2	152	4	medium	7	5943
3290	F	Flight	2	5	172	2	low	7	4649
3291	A	Flight	5	2	253	2	high	2	5643
3292	B	Flight	5	1	270	2	high	10	5360
3293	C	Flight	2	4	139	4	high	3	5041
3294	F	Flight	5	2	257	4	medium	9	5088
3295	D	Flight	4	1	155	3	low	5	4283
3296	F	Flight	3	5	125	2	low	5	4933
3297	A	Flight	5	4	233	2	low	7	4597
3298	B	Flight	3	3	205	2	medium	6	4989
3299	C	Flight	5	4	243	3	medium	4	4420
3300	F	Flight	4	4	208	3	low	10	4919
3301	D	Flight	3	1	230	3	medium	6	4392
3302	F	Flight	4	5	205	3	medium	5	4949
3303	A	Flight	3	4	170	2	low	2	5664
3304	B	Flight	4	2	222	2	medium	5	4268
3305	C	Flight	5	4	186	2	low	3	4213
3306	F	Ship	5	1	208	2	low	8	5218
3307	D	Ship	4	3	223	3	medium	9	5897
3308	F	Ship	5	3	154	2	medium	8	4006
3309	A	Ship	5	3	235	4	medium	10	4011
3310	B	Ship	4	3	271	3	medium	1	4137
3311	C	Ship	4	5	250	3	low	2	5206
3312	F	Ship	4	2	206	2	medium	4	5159
3313	D	Ship	3	1	153	3	low	10	5121
